,E,depol_prob,lam,p0_0,p0_1,p1_0,p1_1,phi,population,t1,t2,theta
0,0.05859375,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,0.0,64845.0,16211.25,0.0
1,0.060546875,0.001,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,0.0,64845.0,16211.25,0.0
2,0.056640625,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,0.0,64845.0,32406.296851574214,0.0
3,0.052734375,0.001,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,0.0,64845.0,32406.296851574214,0.0
4,0.0625,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,0.0,168626.0,42156.5,0.0
5,0.05078125,0.001,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,0.0,168626.0,42156.5,0.0
6,0.056640625,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,0.0,168626.0,84270.86456771614,0.0
7,0.0625,0.001,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,0.0,168626.0,84270.86456771614,0.0
8,0.0546875,0.0,0.0,0.94,0.0,0.06000000000000005,1.0,0.0,0.0,64845.0,16211.25,0.0
9,0.064453125,0.001,0.0,0.94,0.0,0.06000000000000005,1.0,0.0,0.0,64845.0,16211.25,0.0
10,0.0625,0.0,0.0,0.94,0.0,0.06000000000000005,1.0,0.0,0.0,64845.0,32406.296851574214,0.0
11,0.0517578125,0.001,0.0,0.94,0.0,0.06000000000000005,1.0,0.0,0.0,64845.0,32406.296851574214,0.0
12,0.07421875,0.0,0.0,0.94,0.0,0.06000000000000005,1.0,0.0,0.0,168626.0,42156.5,0.0
13,0.0615234375,0.001,0.0,0.94,0.0,0.06000000000000005,1.0,0.0,0.0,168626.0,42156.5,0.0
14,0.0615234375,0.0,0.0,0.94,0.0,0.06000000000000005,1.0,0.0,0.0,168626.0,84270.86456771614,0.0
15,0.0615234375,0.001,0.0,0.94,0.0,0.06000000000000005,1.0,0.0,0.0,168626.0,84270.86456771614,0.0
16,0.0,0.0,0.0,1.0,0.06000000000000005,0.0,0.94,0.0,0.0,64845.0,16211.25,0.0
17,0.0,0.001,0.0,1.0,0.06000000000000005,0.0,0.94,0.0,0.0,64845.0,16211.25,0.0
18,0.0,0.0,0.0,1.0,0.06000000000000005,0.0,0.94,0.0,0.0,64845.0,32406.296851574214,0.0
19,0.0,0.001,0.0,1.0,0.06000000000000005,0.0,0.94,0.0,0.0,64845.0,32406.296851574214,0.0
20,0.0,0.0,0.0,1.0,0.06000000000000005,0.0,0.94,0.0,0.0,168626.0,42156.5,0.0
21,0.0,0.001,0.0,1.0,0.06000000000000005,0.0,0.94,0.0,0.0,168626.0,42156.5,0.0
22,0.0,0.0,0.0,1.0,0.06000000000000005,0.0,0.94,0.0,0.0,168626.0,84270.86456771614,0.0
23,0.0,0.001,0.0,1.0,0.06000000000000005,0.0,0.94,0.0,0.0,168626.0,84270.86456771614,0.0
24,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,64845.0,16211.25,0.0
25,0.0,0.001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,64845.0,16211.25,0.0
26,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,64845.0,32406.296851574214,0.0
27,0.0,0.001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,64845.0,32406.296851574214,0.0
28,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,168626.0,42156.5,0.0
29,0.0,0.001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,168626.0,42156.5,0.0
